epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,553.516,0.70346,2.22028,1.18881,0.5782,0.59729,0.62025,0.54249,0.54674,1.25095,1.08413,0.00599194,0.00199731,0.00599194,0.00199731,0.00599194,0.00199731,0.00599194,0.00199731
2,955.089,0.73745,1.65159,1.19281,0.57208,0.52323,0.54241,0.44597,0.71628,1.53862,1.22225,0.0119906,0.00399688,0.0119906,0.00399688,0.0119906,0.00399688,0.0119906,0.00399688
3,1301.95,0.82903,1.80935,1.26133,0.48611,0.49749,0.48675,0.38951,0.74409,1.73746,1.25766,0.0179841,0.00599471,0.0179841,0.00599471,0.0179841,0.00599471,0.0179841,0.00599471
4,1618.24,0.91418,2.00458,1.32794,0.45534,0.44382,0.41152,0.32906,0.80512,1.90273,1.3319,0.0239685,0.0079895,0.0239685,0.0079895,0.0239685,0.0079895,0.0239685,0.0079895
5,1912.73,0.98665,2.17217,1.38349,0.43447,0.34953,0.33678,0.25494,0.8702,2.16099,1.40217,0.0299399,0.00997996,0.0299399,0.00997996,0.0299399,0.00997996,0.0299399,0.00997996
6,2187.49,0.97825,2.13395,1.37636,0.50336,0.42911,0.42614,0.33529,0.8012,1.84217,1.31005,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2459.2,0.91505,1.93128,1.33409,0.5165,0.4764,0.49078,0.3986,0.75432,1.66822,1.27779,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2731.98,0.87188,1.80194,1.30116,0.57273,0.58348,0.59034,0.48803,0.69961,1.32862,1.22588,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,3009.47,0.83515,1.68461,1.27999,0.68585,0.59861,0.66861,0.56061,0.64776,1.16997,1.18211,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,3285.77,0.79988,1.59501,1.25205,0.62611,0.61288,0.63959,0.539,0.63647,1.21817,1.17287,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,3559.76,0.78501,1.53559,1.24299,0.66876,0.64114,0.68877,0.59183,0.60049,1.09882,1.128,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,3831.94,0.76639,1.49661,1.23236,0.72968,0.66673,0.73992,0.63272,0.60259,1.00392,1.12541,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,4104.23,0.75445,1.42437,1.21985,0.72324,0.67274,0.74577,0.63996,0.58556,0.96506,1.1253,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,4377.04,0.74377,1.38305,1.21497,0.77581,0.69368,0.76929,0.66811,0.56707,0.89731,1.10259,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,4651.15,0.72527,1.35073,1.20323,0.78314,0.71771,0.80097,0.69992,0.54767,0.86002,1.08605,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,4923.32,0.71915,1.30763,1.1973,0.77805,0.70736,0.79372,0.68755,0.55982,0.89735,1.0939,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,5194.69,0.71207,1.27677,1.18992,0.78955,0.72349,0.8056,0.70469,0.53734,0.84756,1.07053,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,5472.06,0.70213,1.25012,1.18546,0.78302,0.75445,0.8265,0.72681,0.52623,0.77692,1.06029,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,5746,0.69591,1.23282,1.18063,0.79714,0.74237,0.82181,0.72739,0.5177,0.79561,1.06261,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,6020.08,0.69203,1.19983,1.17646,0.80033,0.76093,0.83899,0.73956,0.52411,0.75083,1.05974,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,6292.93,0.67764,1.16785,1.16674,0.77409,0.78207,0.83441,0.73887,0.5075,0.74224,1.05018,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,6564.42,0.67283,1.16426,1.16183,0.83867,0.76372,0.85048,0.75404,0.49647,0.73765,1.04898,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,6838.63,0.67056,1.12958,1.16026,0.85309,0.78538,0.86659,0.76964,0.4967,0.68195,1.04168,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,7113.14,0.65658,1.10735,1.14633,0.82476,0.77172,0.85523,0.76419,0.48558,0.70664,1.02851,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
