epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.922,0.95721,3.84384,1.31468,0.3102,0.3197,0.26019,0.20972,0.78877,2.46939,1.25315,0.0059816,0.00199387,0.0059816,0.00199387,0.0059816,0.00199387,0.0059816,0.00199387
2,406.345,0.92828,2.53573,1.28292,0.34982,0.2517,0.21358,0.15974,0.9182,2.77453,1.33139,0.0119803,0.00399343,0.0119803,0.00399343,0.0119803,0.00399343,0.0119803,0.00399343
3,607.133,0.95182,2.29575,1.29077,0.44823,0.41638,0.38852,0.29679,0.83886,2.09882,1.28979,0.0179738,0.00599126,0.0179738,0.00599126,0.0179738,0.00599126,0.0179738,0.00599126
4,770.602,0.96118,2.19181,1.29641,0.4416,0.32828,0.31682,0.22982,0.97737,2.24945,1.42621,0.0239582,0.00798606,0.0239582,0.00798606,0.0239582,0.00798606,0.0239582,0.00798606
5,915.39,1.0502,2.31588,1.35796,0.3347,0.22414,0.16895,0.11015,1.22838,3.69903,1.64436,0.0299295,0.00997652,0.0299295,0.00997652,0.0299295,0.00997652,0.0299295,0.00997652
6,1042.11,1.08575,2.35873,1.38693,0.31596,0.31605,0.24448,0.17831,1.04514,2.99316,1.4695,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,1165.41,1.0369,2.16989,1.35763,0.49328,0.38054,0.39581,0.30355,0.9693,2.2262,1.44315,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1276.04,0.99844,2.05928,1.33246,0.45974,0.43088,0.39799,0.30733,0.89954,2.41824,1.32643,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1399.7,0.96207,1.94799,1.30829,0.48854,0.54226,0.52373,0.41128,0.81039,1.65416,1.26217,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1528.76,0.9326,1.86443,1.28472,0.57889,0.52777,0.56167,0.44293,0.81486,1.51533,1.2541,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1651.78,0.92443,1.81839,1.27486,0.56935,0.4906,0.52159,0.40298,0.8427,1.59809,1.27693,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1770.68,0.90131,1.76918,1.26282,0.58334,0.52672,0.56861,0.45681,0.77359,1.55979,1.21524,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1889.46,0.89344,1.71388,1.25361,0.57098,0.51097,0.54156,0.43958,0.77599,1.6579,1.22403,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,2002.76,0.87717,1.67986,1.24957,0.65826,0.53308,0.61491,0.49633,0.75816,1.34477,1.21167,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,2138.58,0.86909,1.63452,1.2423,0.62565,0.59792,0.6258,0.51061,0.75213,1.38864,1.22683,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,2280.19,0.86084,1.60942,1.2336,0.65734,0.60063,0.65271,0.52599,0.74082,1.31361,1.19962,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,2404.32,0.8489,1.57823,1.22649,0.71903,0.52669,0.62811,0.51792,0.73839,1.35199,1.20605,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,2522.79,0.84366,1.56278,1.22453,0.69986,0.62886,0.70365,0.58784,0.69322,1.09294,1.15669,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,2647.6,0.84227,1.53816,1.22084,0.70276,0.63632,0.70702,0.58771,0.6874,1.14407,1.14798,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,2762.34,0.83445,1.51688,1.21597,0.73702,0.67109,0.74248,0.61008,0.71833,1.0825,1.17137,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,2874.36,0.82591,1.49142,1.20764,0.72691,0.68146,0.73984,0.6193,0.66244,1.08343,1.12669,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,2993.6,0.81417,1.47145,1.20388,0.74813,0.70994,0.77697,0.6515,0.65811,0.97877,1.11495,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,3115.6,0.81744,1.4542,1.20351,0.74257,0.70071,0.76498,0.64001,0.6817,1.04276,1.13647,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,3240.28,0.80962,1.4404,1.1937,0.74043,0.68301,0.75088,0.63359,0.65462,1.01246,1.11283,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,3352.07,0.80107,1.41236,1.19272,0.76671,0.69787,0.78093,0.66112,0.64831,0.95296,1.11086,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,3477.47,0.79711,1.38633,1.18824,0.78437,0.7073,0.79015,0.66662,0.64645,0.942,1.1121,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,3600.57,0.78815,1.37958,1.18333,0.78277,0.69926,0.79752,0.67172,0.64396,0.91231,1.10102,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,3745.65,0.7917,1.37986,1.18707,0.76436,0.71462,0.78148,0.66316,0.63521,0.93558,1.0937,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,3890.23,0.79165,1.37449,1.18466,0.78437,0.69685,0.78087,0.66433,0.61757,0.92102,1.09099,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,4032.41,0.78165,1.33965,1.17563,0.80721,0.71918,0.80675,0.68772,0.62488,0.87698,1.09003,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,4160.02,0.77365,1.32854,1.17467,0.78144,0.73707,0.82106,0.69853,0.61019,0.86611,1.07802,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,4300.59,0.77977,1.31039,1.17303,0.80245,0.76929,0.84166,0.72177,0.60762,0.79011,1.06965,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,4434.59,0.78174,1.33012,1.17577,0.82808,0.7567,0.83979,0.72372,0.60177,0.79774,1.06543,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,4564.95,0.77144,1.30543,1.17149,0.79125,0.74675,0.82437,0.70617,0.60041,0.82194,1.07086,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,4692.53,0.76747,1.29821,1.17041,0.82202,0.78302,0.85088,0.73713,0.59092,0.76242,1.06656,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
